prize_id,prize_name,prize_alias,prize_institution,prize_year,prize_genre,person_id,first_name,last_name,gender,uk_residence,ethnicity_macro,highest_degree,degree_field_cat,degree_institution,degree_field,role_simple,person_role,book_id,book_title
15,Ted Hughes Award for New Work in Poetry,Ted Hughes Award for New Work in Poetry,Poetry Society,2018,Poetry,0525,Hannah,Sullivan,woman,TRUE,White British,Doctorate,Language and Literature,Harvard University,English and American Literature,Shortlisted,shortlisted,00672,Three Poems
3,Costa First Novel Award,Costa First Novel Award,Costa,2018,Fiction,0050,Stuart,Turton,man,TRUE,White British,Bachelors,Multiple,unknown,English and Philosophy,Winner,winner,00341,The Seven Deaths of Evelyn Hardcastle
2,Costa Book of the Year,Costa Book of the Year,Costa,2018,No/Any/Multi Genre,0049,Bart,van Es,man,TRUE,Non-UK White,Bachelors,Language and Literature,University of Cambridge,English Literature,Winner,winner,00345,The Cut Out Girl
5,Costa Biography Award,Costa Biography Award,Costa,2018,Biography,0049,Bart,van Es,man,TRUE,Non-UK White,Bachelors,Language and Literature,University of Cambridge,English Literature,Winner,winner,00345,The Cut Out Girl
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2018,Crime,0430,Emma,Viskic,woman,FALSE,Non-UK White,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00544,Resurrection Bay
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2018,Fiction,0320,Jesmyn,Ward,woman,FALSE,Non-White American,Masters,Writing,University of Michigan,Creative Writing,Shortlisted,shortlisted,00391,"Sing, Unburied, Sing"
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,2018,Fiction,0005,Eley,Williams,woman,TRUE,White British,Doctorate,unknown,unknown,unknown,Winner,winner,00354,Attrib. and Other Stories
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2018,Non-Fiction,0620,Carl,Zimmer,man,FALSE,Non-UK White,Bachelors,Language and Literature,Yale University,English,Shortlisted,shortlisted,00782,She Has Her Mother's Laugh
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2019,Crime,0421,Claire,Askew,woman,TRUE,White British,Doctorate,Writing,University of Edinburgh,Creative Writing,Shortlisted,shortlisted,00537,All the Hidden Truths
8,Man Booker Prize,Booker Prize,Booker Foundation,2019,Fiction,0190,Margaret,Atwood,woman,FALSE,Non-UK White,Masters,Language and Literature,Radcliffe College,English Literature,Winner,winner,00014,The Testaments
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2019,Fiction,0279,Pat,Barker,woman,TRUE,White British,unknown,Multiple,University of Cambridge,Philosophy and English,Shortlisted,shortlisted,00382,The Silence of the Girls
7,Costa Children's Book Award,Costa Children's Book Award,Costa,2019,Children's,0048,Jasbinder,Bilan,woman,TRUE,Asian,Masters,Writing,Bath Spa University,Creative Writing,Winner,winner,00032,Asha & the Spirit Bird
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2019,Fiction,0312,Oyinkan,Braithwaite,woman,FALSE,African,Bachelors,Multiple,Kingston University,Creative Writing and Law,Shortlisted,shortlisted,00383,"My Sister, the Serial Killer"
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2019,Fiction,0193,Anna,Burns,woman,TRUE,White British,none,none,none,none,Shortlisted,shortlisted,00043,Milkman
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2019,Non-Fiction,0610,Casey,Cep,woman,FALSE,Non-UK White,Masters,Philosophy and Theology,University of Oxford,Theology,Shortlisted,shortlisted,00772,Furious Hours
6,Costa Poetry Award,Costa Poetry Award,Costa,2019,Poetry,0047,Mary Jean,Chan,non-binary,TRUE,Asian,Doctorate,Writing,University of London,Creative Writing,Winner,winner,00053,Flèche
4,Costa Novel Award,Costa Novel Award,Costa,2019,Fiction,0046,Jonathan,Coe,man,TRUE,White British,Doctorate,Language and Literature,University of Warwick,English Literature,Winner,winner,00054,Middle England
3,Costa First Novel Award,Costa First Novel Award,Costa,2019,Fiction,0045,Sara,Collins,woman,TRUE,Caribbean,Masters,Writing,University of Cambridge,Creative Writing,Winner,winner,00057,The Confessions of Frannie Langton
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2019,Crime,0425,MW,Craven,man,TRUE,White British,Bachelors,Medicine and Social Work,Newcastle University,Social Work,Winner,winner,00538,The Puppet Show
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2019,Non-Fiction,0611,Laura,Cumming,woman,TRUE,White British,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00773,On Chapel Sands
8,Man Booker Prize,Booker Prize,Booker Foundation,2019,Fiction,0003,Lucy,Ellmann,woman,TRUE,White British,Masters,unknown,Courtauld Institute of Art,unknown,Shortlisted,shortlisted,00084,"Ducks, Newburyport"
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2019,Fiction,0313,Diana,Evans,woman,TRUE,Black British,Masters,Writing,University of East Anglia,Creative Writing,Shortlisted,shortlisted,00384,Ordinary People
8,Man Booker Prize,Booker Prize,Booker Foundation,2019,Fiction,0189,Bernardine,Evaristo,woman,TRUE,Black British,Doctorate,Writing,University of London,Creative Writing,Winner,winner,00087,"Girl, Woman, Other"
2,Costa Book of the Year,Costa Book of the Year,Costa,2019,No/Any/Multi Genre,0044,Jack,Fairweather,man,TRUE,White British,unknown,unknown,University of Oxford,unknown,Winner,winner,00089,The Volunteer
5,Costa Biography Award,Costa Biography Award,Costa,2019,Biography,0044,Jack,Fairweather,man,TRUE,White British,unknown,unknown,University of Oxford,unknown,Winner,winner,00089,The Volunteer
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2019,Non-Fiction,0612,William,Feaver,man,TRUE,White British,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00774,The Lives of Lucian Freud
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2019,Fiction,0311,Tayari,Jones,woman,TRUE,Non-White American,Masters,Politics and Economics,Victoria University of Wellington,Political Science,Winner,winner,00381,An American Marriage
13,James Tait Black Prize for Drama,James Tait Black Prize for Drama,The University of Edinburgh,2019,Drama,0513,Yasmin,Joseph,woman,TRUE,Caribbean,Bachelors,Language and Literature,unknown,English and Drama,Winner,winner,00660,J'Ouvert
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2019,Crime,0426,Christobel,Kent,woman,TRUE,White British,unknown,unknown,University of Cambridge,unknown,Shortlisted,shortlisted,00539,What We Did
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,2019,Fiction,0004,Olivia,Laing,non-binary,TRUE,White British,Bachelors,Maths and Sciences,unknown,Herbal Medicine,Winner,winner,00172,Crudo
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2019,Crime,0427,Donna,Leon,woman,FALSE,Non-UK White,Bachelors,unknown,unknown,unknown,Shortlisted,shortlisted,00540,Unto Us a Son is Given
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2019,Non-Fiction,0613,Julia,Lovell,woman,TRUE,White British,Doctorate,History and Cultural Studies,University of Cambridge,Chinese History,Shortlisted,shortlisted,00775,Maoism
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2019,Crime,0428,Derek B.,Miller,man,FALSE,Jewish,Doctorate,Politics and Economics,unknown,International Relations,Shortlisted,shortlisted,00541,American by Day
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2019,Fiction,0314,Madeline,Miller,woman,FALSE,Non-UK White,Masters,Language and Literature,unknown,Literature,Shortlisted,shortlisted,00385,Circe
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2019,Non-Fiction,0614,Azadeh,Moaveni,woman,FALSE,Non-UK White,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00776,Guest House for Young Women
8,Man Booker Prize,Booker Prize,Booker Foundation,2019,Fiction,0191,Chigozie,Obioma,man,TRUE,African,Masters,unknown,unknown,unknown,Shortlisted,shortlisted,00249,An Orchestra of Minorities
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2019,Poetry,0524,Roger,Robinson,man,TRUE,Caribbean,unknown,unknown,unknown,unknown,Winner,winner,00671,A Portable Paradise
